Date,XAO,,,,,,,
4/30/71,348.26,,,,,,,
5/31/71,343.72,,,,,,,
6/30/71,344.44,,,,,,,
7/31/71,334.14,,,,,,,
8/31/71,322.8,,,,,,,
9/30/71,302.08,,,,,,,
10/31/71,299.3,,,,,,,
11/30/71,297.14,,,,,,,
12/31/71,351.24,,,,,,,
1/31/72,343.82,,,,,,,
2/29/72,378.66,,,,,,,
3/31/72,398.35,,,,,,,
4/30/72,396.59,,,,,,,
5/31/72,409.06,,,,,,,
6/30/72,418.75,,,,,,,
7/31/72,401.54,,,,,,,
8/31/72,402.78,,,,,,,
9/30/72,390.62,,,,,,,
10/31/72,409.37,,,,,,,
11/30/72,420.5,,,,,,,
12/31/72,421.12,,,,,,,
1/31/73,428.23,,,,,,,
2/28/73,394.53,,,,,,,
3/31/73,393.6,,,,,,,
4/30/73,367.63,,,,,,,
5/31/73,394.12,,,,,,,
6/30/73,388.14,,,,,,,
7/31/73,392.88,,,,,,,
8/31/73,358.67,,,,,,,
9/30/73,327.44,,,,,,,
10/31/73,346.71,,,,,,,
11/30/73,315.07,,,,,,,
12/31/73,306.62,,,,,,,
1/31/74,343.82,,,,,,,
2/28/74,369.8,,,,,,,
3/31/74,353.92,,,,,,,
4/30/74,338.88,,,,,,,
5/31/74,289.92,,,,,,,
6/30/74,270.03,,,,,,,
7/31/74,229.94,,,,,,,
8/31/74,217.36,,,,,,,
9/30/74,178.82,,,,,,,
10/31/74,209.63,,,,,,,
11/30/74,217.57,,,,,,,
12/31/74,207.78,,,,,,,
1/31/75,243.95,,,,,,,
2/28/75,250.24,,,,,,,
3/31/75,246.12,,,,,,,
4/30/75,245.91,,,,,,,
5/31/75,261.27,,,,,,,
6/30/75,257.76,,,,,,,
7/31/75,252.51,,,,,,,
8/31/75,250.34,,,,,,,
9/30/75,273.33,,,,,,,
10/31/75,280.54,,,,,,,
11/30/75,297.75,,,,,,,
12/31/75,308.47,,,,,,,
1/31/76,319.09,,,,,,,
2/29/76,322.59,,,,,,,
3/31/76,316.41,,,,,,,
4/30/76,320.43,,,,,,,
5/31/76,325.48,,,,,,,
6/30/76,327.95,,,,,,,
7/31/76,352.89,,,,,,,
8/31/76,349.7,,,,,,,
9/30/76,324.24,,,,,,,
10/31/76,306.1,,,,,,,
11/30/76,291.57,,,,,,,
12/31/76,300.33,,,,,,,
1/31/77,305.79,,,,,,,
2/28/77,295.9,,,,,,,
3/31/77,308.27,,,,,,,
4/30/77,304.56,,,,,,,
5/31/77,319.5,,,,,,,
6/30/77,318.37,,,,,,,
7/31/77,306,,,,,,,
8/31/77,297.03,,,,,,,
9/30/77,300.02,,,,,,,
10/31/77,314.66,,,,,,,
11/30/77,307.34,,,,,,,
12/31/77,332.18,,,,,,,
1/31/78,323.52,,,,,,,
2/28/78,308.06,,,,,,,
3/31/78,316.72,,,,,,,
4/30/78,334.14,,,,,,,
5/31/78,346.81,,,,,,,
6/30/78,342.28,,,,,,,
7/31/78,358.56,,,,,,,
8/31/78,378.14,,,,,,,
9/30/78,390.41,,,,,,,
10/31/78,369.69,,,,,,,
11/30/78,366.09,,,,,,,
12/31/78,377.32,,,,,,,
1/31/79,395.77,,,,,,,
2/28/79,405.66,,,,,,,
3/31/79,410.4,,,,,,,
4/30/79,401.02,,,,,,,
5/31/79,412.46,,,,,,,
6/30/79,402.78,,,,,,,
7/31/79,410.82,,,,,,,
8/31/79,453.69,,,,,,,
9/30/79,478.84,,,,,,,
10/31/79,482.45,,,,,,,
11/30/79,472.96,,,,,,,
12/31/79,515.32,,,,,,,
1/31/80,603.96,,,,,,,
2/29/80,623.13,,,,,,,
3/31/80,529.03,,,,,,,
4/30/80,545.32,,,,,,,
5/31/80,612.93,,,,,,,
6/30/80,647.76,,,,,,,
7/31/80,656.42,,,,,,,
8/31/80,680.64,,,,,,,
9/30/80,714.96,,,,,,,
10/31/80,754.12,,,,,,,
11/30/80,755.88,,,,,,,
12/31/80,735.37,,,,,,,
1/31/81,677.14,,,,,,,
2/28/81,672.19,,,,,,,
3/31/81,729.6,,,,,,,
4/30/81,727.95,,,,,,,
5/31/81,735.26,,,,,,,
6/30/81,721.04,,,,,,,
7/31/81,652.81,,,,,,,
8/31/81,648.48,,,,,,,
9/30/81,592.73,,,,,,,
10/31/81,566.55,,,,,,,
11/30/81,612.2,,,,,,,
12/31/81,613.75,,,,,,,
1/31/82,565.62,,,,,,,
2/28/82,506.05,,,,,,,
3/31/82,476.26,,,,,,,
4/30/82,518.93,,,,,,,
5/31/82,520.37,,,,,,,
6/30/82,487.6,,,,,,,
7/31/82,479.35,,,,,,,
8/31/82,497.49,,,,,,,
9/30/82,518.72,,,,,,,
10/31/82,520.06,,,,,,,
11/30/82,499.25,,,,,,,
12/31/82,500.28,,,,,,,
1/31/83,553.35,,,,,,,
2/28/83,513.98,,,,,,,
3/31/83,528.41,,,,,,,
4/30/83,610.04,,,,,,,
5/31/83,639,,,,,,,
6/30/83,623.64,,,,,,,
7/31/83,692.59,,,,,,,
8/31/83,722.79,,,,,,,
9/30/83,740,,,,,,,
10/31/83,708.78,,,,,,,
11/30/83,766.8,,,,,,,
12/31/83,799.06,,,,,,,
1/31/84,789.17,,,,,,,
2/29/84,760.21,,,,,,,
3/31/84,773.5,,,,,,,
4/30/84,779.17,,,,,,,
5/31/84,674.97,,,,,,,
6/30/84,679.09,,,,,,,
7/31/84,702.8,,,,,,,
8/31/84,755.88,,,,,,,
9/30/84,761.75,,,,,,,
10/31/84,776.7,,,,,,,
11/30/84,771.95,,,,,,,
12/31/84,748.35,,,,,,,
1/31/85,797.1,,,,,,,
2/28/85,816.58,,,,,,,
3/31/85,855.13,,,,,,,
4/30/85,901.92,,,,,,,
5/31/85,900.27,,,,,,,
6/30/85,887.18,,,,,,,
7/31/85,964.79,,,,,,,
8/31/85,966.54,,,,,,,
9/30/85,1017.25,,,,,,,
10/31/85,1058.58,,,,,,,
11/30/85,1021.06,,,,,,,
12/31/85,1034.5601,,,,,,,
1/31/86,1108.05,,,,,,,
2/28/86,1082.28,,,,,,,
3/31/86,1171.4301,,,,,,,
4/30/86,1247.7,,,,,,,
5/31/86,1279.34,,,,,,,
6/30/86,1216.27,,,,,,,
7/31/86,1157.9301,,,,,,,
8/31/86,1228.84,,,,,,,
9/30/86,1284.8,,,,,,,
10/31/86,1419.41,,,,,,,
11/30/86,1421.88,,,,,,,
12/31/86,1518.35,,,,,,,
1/31/87,1542.16,,,,,,,
2/28/87,1663.46,,,,,,,
3/31/87,1741.59,,,,,,,
4/30/87,1803.22,,,,,,,
5/31/87,1824.86,,,,,,,
6/30/87,1818.16,,,,,,,
7/31/87,2092.6299,,,,,,,
8/31/87,2215.8899,,,,,,,
9/30/87,2318.1299,,,,,,,
10/31/87,1334.17,,,,,,,
11/30/87,1370.25,,,,,,,
12/31/87,1359.22,,,,,,,
1/31/88,1295.63,,,,,,,
2/29/88,1289.03,,,,,,,
3/31/88,1458.67,,,,,,,
4/30/88,1501.24,,,,,,,
5/31/88,1614.92,,,,,,,
6/30/88,1602.66,,,,,,,
7/31/88,1661.09,,,,,,,
8/31/88,1618.73,,,,,,,
9/30/88,1599.15,,,,,,,
10/31/88,1635.53,,,,,,,
11/30/88,1516.49,,,,,,,
12/31/88,1532.78,,,,,,,
1/31/89,1598.33,,,,,,,
2/28/89,1530.82,,,,,,,
3/31/89,1504.33,,,,,,,
4/30/89,1546.59,,,,,,,
5/31/89,1576.89,,,,,,,
6/30/89,1567.72,,,,,,,
7/31/89,1684.39,,,,,,,
8/31/89,1817.24,,,,,,,
9/30/89,1789.2,,,,,,,
10/31/89,1696.65,,,,,,,
11/30/89,1660.99,,,,,,,
12/31/89,1700.36,,,,,,,
1/31/90,1728.4,,,,,,,
2/28/90,1621.21,,,,,,,
3/31/90,1582.87,,,,,,,
4/30/90,1478.46,,,,,,,
5/31/90,1557.93,,,,,,,
6/30/90,1546.69,,,,,,,
7/31/90,1622.14,,,,,,,
8/31/90,1553.8,,,,,,,
9/30/90,1439.61,,,,,,,
10/31/90,1367.87,,,,,,,
11/30/90,1360.14,,,,,,,
12/31/90,1319.02,,,,,,,
1/31/91,1362,,,,,,,
2/28/91,1448.68,,,,,,,
3/31/91,1488.46,,,,,,,
4/30/91,1581.22,,,,,,,
5/31/91,1556.28,,,,,,,
6/30/91,1552.36,,,,,,,
7/31/91,1620.49,,,,,,,
8/31/91,1587.61,,,,,,,
9/30/91,1609.97,,,,,,,
10/31/91,1734.58,,,,,,,
11/30/91,1656.15,,,,,,,
12/31/91,1702.01,,,,,,,
1/31/92,1672.43,,,,,,,
2/29/92,1663.67,,,,,,,
3/31/92,1631.1,,,,,,,
4/30/92,1706.65,,,,,,,
5/31/92,1729.74,,,,,,,
6/30/92,1690.11,,,,,,,
7/31/92,1657.48,,,,,,,
8/31/92,1580.99,,,,,,,
9/30/92,1509.98,,,,,,,
10/31/92,1450.22,,,,,,,
11/30/92,1478.23,,,,,,,
12/31/92,1589.15,,,,,,,
1/31/93,1560.5,,,,,,,
2/28/93,1645.93,,,,,,,
3/31/93,1701.88,,,,,,,
4/30/93,1714.25,,,,,,,
5/31/93,1768.63,,,,,,,
6/30/93,1765.97,,,,,,,
7/31/93,1870.44,,,,,,,
8/31/93,1998.55,,,,,,,
9/30/93,1954.62,,,,,,,
10/31/93,2107.63,,,,,,,
11/30/93,1988.98,,,,,,,
12/31/93,2153.27,,,,,,,
1/31/94,2288.44,,,,,,,
